SALES SUMMARY
=============
VALID_SALES_ROWS: 46
- SALE_ID=1 | DATE=01/12/23 | PRODUCT='Rustic breakfast' | QTY=200 | UNIT=21.32 | LINE_TOTAL=4264.00
- SALE_ID=1 | DATE=01/12/23 | PRODUCT='Sandwich with salad' | QTY=23 | UNIT=22.48 | LINE_TOTAL=517.04
- SALE_ID=1 | DATE=01/12/23 | PRODUCT='Raw legums' | QTY=11 | UNIT=17.11 | LINE_TOTAL=188.21
- SALE_ID=2 | DATE=01/12/23 | PRODUCT='Fresh stawberry' | QTY=221 | UNIT=28.59 | LINE_TOTAL=6318.39
- SALE_ID=2 | DATE=01/12/23 | PRODUCT='Raw legums' | QTY=2 | UNIT=17.11 | LINE_TOTAL=34.22
- SALE_ID=3 | DATE=01/12/23 | PRODUCT='Green smoothie' | QTY=400 | UNIT=17.68 | LINE_TOTAL=7072.00
- SALE_ID=3 | DATE=01/12/23 | PRODUCT='Cuban sandwiche' | QTY=2 | UNIT=18.50 | LINE_TOTAL=37.00
- SALE_ID=3 | DATE=01/12/23 | PRODUCT='Hazelnut in black ceramic bowl' | QTY=2 | UNIT=27.35 | LINE_TOTAL=54.70
- SALE_ID=4 | DATE=01/12/23 | PRODUCT='Tomatoes' | QTY=1 | UNIT=26.03 | LINE_TOTAL=26.03
- SALE_ID=4 | DATE=01/12/23 | PRODUCT='Plums' | QTY=250 | UNIT=19.18 | LINE_TOTAL=4795.00
- SALE_ID=4 | DATE=01/12/23 | PRODUCT='Fresh blueberries' | QTY=334 | UNIT=21.01 | LINE_TOTAL=7017.34
- SALE_ID=5 | DATE=01/12/23 | PRODUCT='Green smoothie' | QTY=300 | UNIT=17.68 | LINE_TOTAL=5304.00
- SALE_ID=5 | DATE=01/12/23 | PRODUCT='Corn' | QTY=68 | UNIT=13.55 | LINE_TOTAL=921.40
- SALE_ID=5 | DATE=01/12/23 | PRODUCT='French fries' | QTY=33 | UNIT=18.32 | LINE_TOTAL=604.56
